Subsystem,Emissions
HaberBoschUnit,10486218.86
CoolingSubsystem,887.35
ASU,362289.45
HydrogenProduction,2281.45
SyngasCompression,1442561.6
HaberBoschUnit,10486218.86
CoolingSubsystem,887.35
ASU,416276.4
HydrogenProduction,1945.1
SyngasCompression,1561112.0
HaberBoschUnit,12039304.15
CoolingSubsystem,427.3
ASU,416276.4
HydrogenProduction,1945.1
SyngasCompression,1561112.0
HaberBoschUnit,12039304.15
CoolingSubsystem,427.3
ASU,179286.6
HydrogenProduction,3205.65
SyngasCompression,1540812.3
HaberBoschUnit,11549484.95
CoolingSubsystem,845.7
ASU,179286.6
HydrogenProduction,3205.65
SyngasCompression,1540812.3
HaberBoschUnit,11549484.95
CoolingSubsystem,845.7
ASU,399485.15
HydrogenProduction,2869.3
SyngasCompression,709335.7
HaberBoschUnit,5253516.24
CoolingSubsystem,385.7
ASU,399485.15
HydrogenProduction,2869.3
SyngasCompression,709335.7
HaberBoschUnit,5253516.24
CoolingSubsystem,385.7
ASU,290129.8
HydrogenProduction,3012.15
SyngasCompression,1029259.3
HaberBoschUnit,7654824.98
CoolingSubsystem,892.7
ASU,290129.8
HydrogenProduction,3012.15
SyngasCompression,1029259.3
HaberBoschUnit,7654824.98
CoolingSubsystem,892.7
