Subsystem,Emissions
HaberBoschUnit,429226.16
CoolingSubsystem,16.7
ASU,15913.9
HydrogenProduction,204.4
SyngasCompression,69451.1
HaberBoschUnit,429226.16
CoolingSubsystem,16.7
ASU,8972.75
HydrogenProduction,92.7
SyngasCompression,101169.35
HaberBoschUnit,398151.92
CoolingSubsystem,32.6
ASU,8972.75
HydrogenProduction,92.7
SyngasCompression,101169.35
HaberBoschUnit,398151.92
CoolingSubsystem,32.6
ASU,19340.6
HydrogenProduction,67.3
SyngasCompression,30832.8
HaberBoschUnit,338119.38
CoolingSubsystem,40.95
ASU,19340.6
HydrogenProduction,67.3
SyngasCompression,30832.8
HaberBoschUnit,338119.38
CoolingSubsystem,40.95
ASU,8643.35
HydrogenProduction,65.3
SyngasCompression,46164.9
HaberBoschUnit,500863.12
CoolingSubsystem,36.05
ASU,8643.35
HydrogenProduction,65.3
SyngasCompression,46164.9
HaberBoschUnit,500863.12
CoolingSubsystem,36.05
ASU,21777.5
HydrogenProduction,88.4
SyngasCompression,65134.95
HaberBoschUnit,365577.98
CoolingSubsystem,16.0
ASU,21777.5
HydrogenProduction,88.4
SyngasCompression,65134.95
HaberBoschUnit,365577.98
CoolingSubsystem,16.0
ASU,15333.7
HydrogenProduction,88.75
SyngasCompression,45649.3
HaberBoschUnit,522250.26
CoolingSubsystem,35.3
ASU,15333.7
HydrogenProduction,88.75
SyngasCompression,45649.3
HaberBoschUnit,522250.26
CoolingSubsystem,35.3
ASU,12540.25
HydrogenProduction,103.2
SyngasCompression,59892.3
HaberBoschUnit,271093.58
CoolingSubsystem,49.05
ASU,12540.25
HydrogenProduction,103.2
SyngasCompression,59892.3
HaberBoschUnit,271093.58
CoolingSubsystem,49.05
ASU,15140.3
HydrogenProduction,112.6
SyngasCompression,83063.55
HaberBoschUnit,372152.31
CoolingSubsystem,32.25
ASU,15140.3
HydrogenProduction,112.6
SyngasCompression,83063.55
HaberBoschUnit,372152.31
CoolingSubsystem,32.25
